Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:15:24,2023-01-25 18:15:25,0.496s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.LinearLayout""), 5)",,,,2023-01-25 18:15:25,2023-01-25 18:15:25,0.277s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:15:25,2023-01-25 18:15:26,1.268s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.TextView - Pilih Menu Gratis""), 5)",,,,2023-01-25 18:15:26,2023-01-25 18:15:26,0.213s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:26,2023-01-25 18:15:31,5.013s,PASSED
"waitForElementPresent(findTestObject(""DRT Payment/android.widget.EditText - Mohon untuk mengisi nomor""), 5)",,,,2023-01-25 18:15:31,2023-01-25 18:15:32,0.451s,PASSED
"setText(findTestObject(""DRT Payment/android.widget.EditText - Mohon untuk mengisi nomor""), ""B 1223 YTH"", 5)",,,,2023-01-25 18:15:32,2023-01-25 18:15:34,2.307s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:34,2023-01-25 18:15:39,5.010s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:15:39,2023-01-25 18:15:40,0.669s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Sekarang""), 10)",,,,2023-01-25 18:15:40,2023-01-25 18:15:40,0.263s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:40,2023-01-25 18:15:45,5.008s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 10)",,,,2023-01-25 18:15:45,2023-01-25 18:15:46,0.811s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - TAMBAHKAN""), 5)",,,,2023-01-25 18:15:46,2023-01-25 18:15:46,0.223s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:46,2023-01-25 18:15:51,5.012s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjutkan""), 5)",,,,2023-01-25 18:15:51,2023-01-25 18:15:52,0.913s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:52,2023-01-25 18:15:57,5.003s,PASSED
"scrollToText(""TOTAL"", STOP_ON_FAILURE)",,,,2023-01-25 18:15:57,2023-01-25 18:16:02,5.371s,PASSED
"tap(findTestObject(""Order Dine In/Payment/android.widget.TextView - Lihat Semua""), 5)",,,,2023-01-25 18:16:02,2023-01-25 18:16:03,0.271s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:16:03,2023-01-25 18:16:08,5.008s,PASSED
"swipe(281, 500, 434, 161)",,,,2023-01-25 18:16:08,2023-01-25 18:16:09,1.125s,PASSED
testObjectOne = new com.kms.katalon.core.testobject.TestObject(),,,,2023-01-25 18:16:09,2023-01-25 18:16:09,0.001s,PASSED
"testObjectOne.addProperty(""xpath"", EQUALS, ""//hierarchy/android.widget.FrameLayout[1]/android.widget.LinearLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.widget.FrameLayout[1]/android.view.ViewGroup[1]/android.widget.FrameLayout[1]/android.widget.ScrollView[1]/android.view.ViewGroup[1]/android.view.ViewGroup[1]/androidx.recyclerview.widget.RecyclerView[1]/android.view.ViewGroup[3]/android.widget.ImageView[1]"")",,,,2023-01-25 18:16:09,2023-01-25 18:16:09,0.024s,ERROR
,,,,,,,
Test Cases/Create Order/Drive Thru/Drive Thru - Gopay,,,,2023-01-25 18:16:09,2023-01-25 18:16:36,27.287s,FAILED
"startExistingApplication(""com.kfc.mobile.hkStaging"", STOP_ON_FAILURE)",,,,2023-01-25 18:16:09,2023-01-25 18:16:23,13.483s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:16:23,2023-01-25 18:16:24,1.595s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Beranda""), 5)",,,,2023-01-25 18:16:24,2023-01-25 18:16:26,1.305s,PASSED
